First_Column,Second_Column,Third_Column
10882,7691,1
10915,7691,2
11048,7691,1
11286,7691,1
11337,7691,3
11428,7691,1
11646,7691,1
11716,7691,1
11889,7691,1
11931,7691,1
12152,7691,1
12168,7691,1
12170,7691,1
12229,7691,1
12260,7691,1
12804,7691,1
13141,7691,1
13146,7691,1
13176,7691,1
13192,7691,2
13298,7691,2
13322,7691,2
13326,7691,1
13465,7691,1
13475,7691,1
13477,7691,3
13754,7691,2
13759,7691,1
13837,7691,1
13916,7691,2
14095,7691,1
14498,7691,2
14515,7691,1
14684,7691,2
14692,7691,1
14805,7691,1
14843,7691,1
15150,7691,1
15160,7691,1
15190,7691,1
15281,7691,1
15290,7691,1
15403,7691,1
15475,7691,1
15484,7691,1
15550,7691,1
15754,7691,2
15870,7691,1
15876,7691,1
16027,7691,1
16116,7691,2
16397,7691,1
16448,7691,2
16519,7691,1
16563,7691,1
16663,7691,1
16760,7691,1
16777,7691,1
17097,7691,1
17272,7691,2
17373,7691,2
17463,7691,2
17508,7691,3
17611,7691,1
17940,7691,1
17968,7691,1
18430,7691,1
18701,7691,1
18718,7691,1
18817,7691,1
18970,7691,1
18978,7691,2
19100,7691,2
19273,7691,2
19279,7691,1
19284,7691,1
19351,7691,2
19454,7691,2
19502,7691,1
19709,7691,1
19714,7691,1
19754,7691,3
20149,7691,1
20187,7691,1
20226,7691,1
20456,7691,1
20457,7691,1
20588,7691,1
20621,7691,1
20631,7691,1
20733,7691,1
20763,7691,2
20957,7691,1
21037,7691,1
21041,7691,1
21186,7691,1
21279,7691,1
21537,7691,1
21542,7691,1
21712,7691,1
21759,7691,1
21769,7691,1
21941,7691,1
21971,7691,1
22291,7691,1
22295,7691,1
22306,7691,1
22343,7691,2
22355,7691,1
22376,7691,1
22458,7691,3
22471,7691,1
22819,7691,1
22915,7691,1
23029,7691,1
23343,7691,5
23347,7691,1
23743,7691,1
23867,7691,1
153,7701,2
174,7701,1
223,7701,2
224,7701,1
293,7701,1
385,7701,1
476,7701,1
562,7701,2
730,7701,1
738,7701,3
755,7701,1
971,7701,1
1070,7701,1
1111,7701,1
1118,7701,2
1169,7701,1
1210,7701,1
1229,7701,4
1392,7701,1
1410,7701,2
1434,7701,1
1661,7701,1
1691,7701,1
1978,7701,1
2031,7701,1
2050,7701,2
2055,7701,1
2148,7701,1
2222,7701,1
2297,7701,3
2382,7701,2
2476,7701,2
2553,7701,1
2582,7701,1
2588,7701,1
2599,7701,2
2792,7701,1
2854,7701,1
2890,7701,1
2916,7701,2
3058,7701,1
3060,7701,1
3100,7701,1
3112,7701,1
3115,7701,1
3153,7701,1
3168,7701,3
3324,7701,1
3462,7701,2
3530,7701,1
3632,7701,2
3659,7701,2
3786,7701,1
3790,7701,1
3889,7701,1
3911,7701,1
3996,7701,1
4132,7701,1
4164,7701,1
4180,7701,5
4182,7701,1
4220,7701,2
4273,7701,1
4331,7701,2
4378,7701,1
